"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SCO1",1261.98577836055,0.0933274406112034,0.0648311275254836,0.126660610287338,0.28959687058872
"SCO2",256.52220052247,-0.075597463637803,0.126554347060718,0.448531414561797,0.647574266611409
"SCOC",2072.44821200101,-0.0403961364068491,0.0893395275715353,0.609800532277704,0.77342015206504
"SCOC-AS1",26.2125586543037,-0.205439361252055,0.248924182752133,0.0870085414856064,0.224770280996951
"SCP2",2004.55486939328,0.204711858055324,0.0804101292553656,0.00540115032010634,0.0285442037074858
"SCPEP1",574.327705826837,-0.285392727804836,0.0850085975582529,0.000259641435709475,0.00244145145785727
"SCRG1",24.7719355802558,-0.145707370915099,0.22256596736962,0.151391384836904,0.325993352184216
"SCRIB",1531.94175042581,-0.104744457041879,0.0784445608724175,0.142222442882815,0.312385829867213
"SCRN1",4849.83667753676,-0.0848451723858976,0.0515652182497301,0.0953359021349341,0.239033467722933
"SCRN2",563.35137772574,-0.212375457246482,0.0970876606074852,0.0128505368950662,0.0559889721656425
"SCRN3",642.521340913012,0.112711075165868,0.0960443687955651,0.179538006278972,0.364762189306672
"SCT",9.3941156686491,0.0264498839528685,0.18753959017888,0.673268319160192,0.815277052922409
"SCTR-AS1",7.7154585218716,-0.0266604904554934,0.184430500686733,0.697018532233437,0.830220449255766
"SCUBE1",19.1296101045081,0.160490124395943,0.242638812672267,0.112743683979923,0.267935501276885
"SCUBE2",45.3705896443744,0.0524323782618211,0.155165712733228,0.596956525059152,0.764635243101329
"SCUBE3",1577.39464625507,0.465667927302668,0.122472563328684,1.98066955980343e-05,0.000274983210566724
"SCUBE3-AS1",25.0560376185693,-0.169332480115842,0.226606336018339,0.125898132193268,0.28850990769904
"SCX",79.8886496192728,0.0715469877796125,0.152659861506929,0.482385378133702,0.676094482872757
"SCYL1",3005.47135127862,0.0129953780142298,0.0660790110455579,0.841062629490655,0.918476105139861
"SCYL2",2301.41024970051,0.134895466285358,0.108732462182631,0.138830849497428,0.308115576911848
"SCYL3",224.779958730863,-0.00218727386034612,0.104669019688254,0.97965043284168,0.991004154592717
"SDAD1",580.731595529011,0.141615229654883,0.106764654993042,0.120765290445899,0.2806582867634
"SDAD1P1",598.70862106983,-0.0554619494182407,0.109135528453684,0.544831090474807,0.72638761544732
"SDC1",116.378741001761,-0.410184348856621,0.14014720646174,0.000531716923893483,0.00445312923760792
"SDC2",1631.55309388416,-0.318149492267636,0.0864383527344555,7.58628838344946e-05,0.000850811883797897
"SDC3",8565.07825947195,0.302197828467374,0.0882859606604502,0.000165570044407069,0.00165478569244413
"SDC4",1723.90581969443,0.0185794314674038,0.0905539560474917,0.814073316818238,0.902611512424751
"SDCBP",2243.62149390763,0.101650197293138,0.0914715557460914,0.197270426179518,0.38722027013753
"SDCBP2",25.0798701982988,-0.176998869190136,0.234692882230994,0.112853059141753,0.268068306701625
"SDCBP2-AS1",52.0398996013101,-0.146238172388503,0.175803580617727,0.188079824958397,0.375785733763794
"SDCCAG8",400.188091183637,0.138917474278742,0.0862913919849115,0.0739613158166759,0.199874544834728
"SDE2",686.300466645203,0.365571888168779,0.0863015299713402,4.67928518505714e-06,7.88743952797998e-05
"SDF2",558.762610996238,-0.0389632835986786,0.0762878333490121,0.578939934076311,0.751384953463873
"SDF2L1",415.287484080848,-0.360750233792485,0.136265006833339,0.00150577633964926,0.0104046959450937
"SDF4",3969.04047520602,-0.271355512469786,0.0710945794830522,4.04469046326581e-05,0.000505306978456343
"SDHA",7561.16856495694,0.193592442678953,0.0737401516109155,0.00401367500295795,0.0227395492651141
"SDHAF1",239.411828374884,-0.128798799815215,0.142910229173404,0.219525263509567,0.414661377977244
"SDHAF2",741.676787703879,0.0400386410375515,0.0777412004452568,0.561067085656167,0.738160260328732
"SDHAF3",262.846333219438,-0.0224088468777841,0.091748215103424,0.78081534478437,0.883914241999327
"SDHAF4",206.444325390862,-0.216790432825707,0.129150528923586,0.0368289086422928,0.122088135851031
"SDHAP1",175.678529541068,0.0587907262541463,0.123975041107948,0.544891096828089,0.72638761544732
"SDHAP1_2",171.899834039781,-0.00954806408043791,0.119595153024537,0.918992716955447,0.96151406880995
"SDHAP2",9.57958444729611,0.0549289691250504,0.20769657126913,0.00482483494183372,0.0261556080604651
"SDHAP3",4.22379854113003,0.0184366675160951,0.192724814224431,0.666598473452421,0.811000496654401
"SDHAP4",542.194182839086,-0.000867751014067604,0.0676488435963646,0.964343093592346,0.984233946669182
"SDHB",1576.82043394957,-0.068066711046721,0.0825579838774332,0.360257671630664,0.5681056103622
"SDHC",1593.10723877192,-0.0780653653912048,0.0815114474889892,0.28681330091893,0.494185409431703
"SDHD",1930.82575141987,0.123849601203782,0.0732530986905804,0.0680844277589385,0.188613675062664
"SDK1",978.149796902918,0.392857341042001,0.130550805792807,0.000469515042094863,0.00403684748645251
"SDK2",4070.01590367325,0.0888392243300973,0.11170825233918,0.336899980337745,0.545653897753353
"SDR39U1",962.860798659889,-0.00655097038577263,0.0753951893714765,0.923599222792237,0.964283113033134
"SDSL",199.029027559078,-0.614779910134095,0.148780336416814,3.312460547096e-06,5.84347178270241e-05
"SEC11A",1968.4837489296,-0.0665565453813408,0.0616164957350624,0.331923982692976,0.540605460242724
"SEC11C",353.270416831295,-0.355896109989148,0.110877994029481,0.000275784976645081,0.00255974870575141
"SEC13",1981.74366539242,-0.0854752142205714,0.067779207778859,0.160108429988607,0.337531930834856
"SEC14L1",1489.15943788247,-0.113916027262902,0.0823913292046217,0.126393021340671,0.289350766394931
"SEC14L1P1",12.1166267332071,-0.0256160043026873,0.179495308323776,0.736669363228933,0.856174030248082
"SEC14L2",183.193025221237,-0.501033073144704,0.145773203982527,6.82880849050204e-05,0.00078284629653474
"SEC14L5",171.973829295096,0.71798181349322,0.146346021274961,7.55466557751431e-08,2.1122704837285e-06
"SEC14L6",37.0604987371762,-0.531574438446589,0.261225692261487,0.00328199622691739,0.0194023894591293
"SEC16A",2603.4754235445,-0.052367971874033,0.0892127127709145,0.517342533290337,0.704776446059357
"SEC16B",19.2180211481692,-0.0162459135121131,0.19058471920842,0.742789544127222,0.860357462752046
"SEC22A",273.20693466417,-0.231118239035719,0.101693750402374,0.00908818042437705,0.0426365238780321
"SEC22B",2212.17229668972,-0.0426595983394253,0.0633505228908321,0.448648329653996,0.647574266611409
"SEC22C",814.702936076814,0.0356828469590697,0.0614037300234659,0.539513739300768,0.722359821179105
"SEC23A",5808.15588074519,0.210114167961323,0.0724458606725073,0.00180998633675184,0.0121224186715441
"SEC23B",641.115625883432,-0.0762419306956223,0.0684172211210606,0.231750560980519,0.429677938724771
"SEC23IP",1223.58293414405,0.109938029654197,0.0920088877170843,0.174454632429136,0.357931722912147
"SEC24A",989.717344809054,-0.0338049704176951,0.107475560104856,0.710021552497284,0.838975200190661
"SEC24B",1412.66666941951,0.0762201669806633,0.0718339407063623,0.276787266240299,0.483635820176472
"SEC24B-AS1",29.4103207401565,-0.174164576183098,0.221339341531357,0.124780541456317,0.28682083798536
"SEC24C",2732.93802019745,-0.038060653990015,0.0619086830238753,0.51326913176283,0.701498836022181
"SEC24D",1752.65459561749,-0.302330015718284,0.107394553447817,0.00137056301379539,0.00965854496281989
"SEC31A",5337.59604912063,0.0772245637850087,0.0753579092983664,0.265759791418712,0.471610224324555
"SEC31B",403.685060906459,-0.000451974113219226,0.0934652565445445,0.978602489055138,0.990688382936955
"SEC61A1",5804.08183664739,-0.25710754576664,0.057164616598157,2.85813737874147e-06,5.19635227954103e-05
"SEC61A2",974.749283057611,0.363915381575954,0.0806002260458816,1.35955867472722e-06,2.71761507467574e-05
"SEC61B",546.060788252133,-0.199876233703909,0.12313729743829,0.0476561124368309,0.146865259622193
